"TIMESTAMP","PA_F_kpa","PA_F_pa"
2004-04-26,96.352,96352
2004-04-27,95.812,95812
2004-04-28,95.473,95473
2004-04-29,94.94,94940
2004-04-30,94.554,94554
2004-05-01,95.379,95379
2004-05-02,95.567,95567
2004-05-03,95.113,95113
2004-05-04,94.286,94286
2004-05-05,93.798,93798
2004-05-06,94.221,94221
2004-05-07,94.836,94836
2004-05-08,95.07,95070
2004-05-09,95.356,95356
2004-05-10,95.756,95756
2004-05-11,96.17,96170
2004-05-12,95.964,95964
2004-05-13,96.042,96042
2004-05-14,96.584,96584
2004-05-15,96.99,96990
2004-05-16,97.008,97008
2004-05-17,96.897,96897
2004-05-18,96.909,96909
2004-05-19,96.946,96946
2004-05-20,96.486,96486
2004-05-21,96.036,96036
2004-05-22,96.4,96400
2004-05-23,96.741,96741
2004-05-24,96.816,96816
2004-05-25,96.548,96548
2004-05-26,96.272,96272
2004-05-27,96.515,96515
2004-05-28,96.794,96794
2004-05-29,96.882,96882
2004-05-30,96.698,96698
2004-05-31,96.572,96572
2004-06-01,96.292,96292
2004-06-02,96.436,96436
2004-06-03,96.782,96782
2004-06-04,96.725,96725
2004-06-05,96.342,96342
2004-06-06,96.456,96456
2004-06-07,96.696,96696
2004-06-08,96.872,96872
2004-06-09,96.92,96920
2004-06-10,96.79,96790
2004-06-11,96.683,96683
2004-06-12,96.643,96643
2004-06-13,97.047,97047
2004-06-14,97.128,97128
2004-06-15,96.674,96674
2004-06-16,96.392,96392
2004-06-17,96.176,96176
2004-06-18,95.606,95606
2004-06-19,95.394,95394
2004-06-20,95.468,95468
2004-06-21,95.952,95952
2004-06-22,96.294,96294
2004-06-23,95.938,95938
2004-06-24,96.147,96147
2004-06-25,96.474,96474
2004-06-26,96.747,96747
2004-06-27,96.701,96701
2004-06-28,97.023,97023
2004-06-29,97.019,97019
2004-06-30,96.513,96513
2004-07-01,96.205,96205
2004-07-02,96.328,96328
2004-07-03,96.544,96544
2004-07-04,96.469,96469
2004-07-05,96.47,96470
2004-07-06,96.567,96567
2004-07-07,96.033,96033
2004-07-08,95.855,95855
2004-07-09,96.208,96208
2004-07-10,96.36,96360
2004-07-11,96.145,96145
2004-07-12,96.02,96020
2004-07-13,96.345,96345
2004-07-14,96.665,96665
2004-07-15,96.603,96603
2004-07-16,96.372,96372
2004-07-17,96.36,96360
2004-07-18,96.506,96506
2004-07-19,96.516,96516
2004-07-20,96.24,96240
2004-07-21,96.427,96427
2004-07-22,96.578,96578
2004-07-23,96.662,96662
2004-07-24,96.835,96835
2004-07-25,96.59,96590
2004-07-26,96.272,96272
2004-07-27,96.461,96461
2004-07-28,96.437,96437
2004-07-29,96.284,96284
2004-07-30,96.525,96525
2004-07-31,96.663,96663
2004-08-01,96.447,96447
2004-08-02,96.163,96163
2004-08-03,95.874,95874
2004-08-04,95.792,95792
2004-08-05,95.799,95799
2004-08-06,96.155,96155
2004-08-07,96.093,96093
2004-08-08,95.784,95784
2004-08-09,95.8,95800
2004-08-10,95.855,95855
2004-08-11,96.024,96024
2004-08-12,95.792,95792
2004-08-13,96.052,96052
2004-08-14,96.559,96559
2004-08-15,96.726,96726
2004-08-16,96.083,96083
2004-08-17,95.752,95752
2004-08-18,95.71,95710
2004-08-19,96.064,96064
2004-08-20,96.018,96018
2004-08-21,96.332,96332
2004-08-22,96.747,96747
2004-08-23,96.512,96512
2004-08-24,96.332,96332
2004-08-25,96.167,96167
2004-08-26,96.376,96376
2004-08-27,96.47,96470
2004-08-28,96.245,96245
2004-08-29,96.369,96369
2004-08-30,96.304,96304
2004-08-31,96.435,96435
2004-09-01,96.349,96349
2004-09-02,96.445,96445
2004-09-03,96.954,96954
2004-09-04,97.307,97307
2004-09-05,97.063,97063
2004-09-06,96.882,96882
2004-09-07,97.062,97062
2004-09-08,97.279,97279
2004-09-09,97.129,97129
2004-09-10,96.811,96811
2004-09-11,96.683,96683
2004-09-12,96.611,96611
2004-09-13,96.297,96297
2004-09-14,96.061,96061
2004-09-15,96.534,96534
2004-09-16,96.936,96936
2004-09-17,96.928,96928
2004-09-18,96.596,96596
2004-09-19,96.503,96503
2004-09-20,96.51,96510
2004-09-21,96.65,96650
2004-09-22,96.784,96784
2004-09-23,96.094,96094
2004-09-24,95.969,95969
2004-09-25,96.557,96557
2004-09-26,96.836,96836
2004-09-27,96.94,96940
2004-09-28,96.749,96749
2004-09-29,96.503,96503
2004-09-30,96.627,96627
2004-10-01,96.706,96706
2004-10-02,96.823,96823
2004-10-03,96.924,96924
2004-10-04,96.554,96554
2004-10-05,96.387,96387
2004-10-06,96.445,96445
2004-10-07,96.503,96503
2004-10-08,96.143,96143
2004-10-09,95.922,95922
2004-10-10,95.654,95654
2004-10-11,96.072,96072
2004-10-12,96.383,96383
2004-10-13,96.252,96252
2004-10-14,95.562,95562
2004-10-15,94.929,94929
2004-10-16,94.932,94932
2004-10-17,95.327,95327
2004-10-18,95.829,95829
2004-10-19,95.662,95662
2004-10-20,95.499,95499
2004-10-21,96.066,96066
2004-10-22,96.54,96540
2004-10-23,96.487,96487
2004-10-24,96.15,96150
2004-10-25,96.048,96048
2004-10-26,95.842,95842
2004-10-27,95.271,95271
2004-10-28,94.862,94862
2004-10-29,94.773,94773
2004-10-30,95.34,95340
2004-10-31,95.8,95800
2004-11-01,95.985,95985
2004-11-02,96.167,96167
2004-11-03,96.443,96443
2004-11-04,96.662,96662
2004-11-05,97.04,97040
2004-11-06,96.929,96929
2004-11-07,96.509,96509
2004-11-08,96.168,96168
2004-11-09,95.543,95543
2004-11-10,95.43,95430
2004-11-11,95.919,95919
2004-11-12,96.534,96534
2004-11-13,96.789,96789
2004-11-14,97.046,97046
2004-11-15,96.973,96973
2004-11-16,97.276,97276
2004-11-17,97.373,97373
2004-11-18,96.709,96709
2004-11-19,96.026,96026
2004-11-20,96.823,96823
2004-11-21,97.07,97070
2004-11-22,96.992,96992
2004-11-23,97.123,97123
2004-11-24,97.334,97334
2004-11-25,97.157,97157
2004-11-26,97.115,97115
2004-11-27,97.042,97042
2004-11-28,96.277,96277
2004-11-29,95.727,95727
2004-11-30,95.446,95446
2004-12-01,95.395,95395
2004-12-02,95.562,95562
2004-12-03,96.329,96329
2004-12-04,97.058,97058
2004-12-05,97.187,97187
2004-12-06,97.228,97228
2004-12-07,97.183,97183
2004-12-08,97.117,97117
2004-12-09,96.837,96837
2004-12-10,96.836,96836
2004-12-11,97.003,97003
2004-12-12,97.182,97182
2004-12-13,97.348,97348
2004-12-14,97.36,97360
2004-12-15,97.048,97048
2004-12-16,96.278,96278
2004-12-17,95.173,95173
2004-12-18,95.713,95713
2004-12-19,94.929,94929
2004-12-20,95.963,95963
2004-12-21,96.605,96605
2004-12-22,96.87,96870
2004-12-23,96.419,96419
2004-12-24,96.022,96022
2004-12-25,94.711,94711
2004-12-26,94.552,94552
2004-12-27,95.649,95649
2004-12-28,95.682,95682
2004-12-29,96.793,96793
2004-12-30,97.673,97673
2004-12-31,97.423,97423
2005-01-01,97.236,97236
2005-01-02,97.078,97078
2005-01-03,97.951,97951
2005-01-04,97.799,97799
2005-01-05,97.571,97571
2005-01-06,97.759,97759
2005-01-07,97.906,97906
2005-01-08,97.179,97179
2005-01-09,97.428,97428
2005-01-10,97.323,97323
2005-01-11,97.434,97434
2005-01-12,97.203,97203
2005-01-13,97.359,97359
2005-01-14,97.408,97408
2005-01-15,97.196,97196
2005-01-16,97.171,97171
2005-01-17,96.911,96911
2005-01-18,95.342,95342
2005-01-19,95.877,95877
2005-01-20,96.213,96213
2005-01-21,95.799,95799
2005-01-22,96.157,96157
2005-01-23,96.14,96140
2005-01-24,95.913,95913
2005-01-25,95.962,95962
2005-01-26,95.94,95940
2005-01-27,95.963,95963
2005-01-28,95.641,95641
2005-01-29,96.128,96128
2005-01-30,97.149,97149
2005-01-31,97.231,97231
2005-02-01,96.797,96797
2005-02-02,97.385,97385
2005-02-03,97.408,97408
2005-02-04,97.301,97301
2005-02-05,96.822,96822
2005-02-06,96.784,96784
2005-02-07,96.89,96890
2005-02-08,97.248,97248
2005-02-09,97.546,97546
2005-02-10,97.68,97680
2005-02-11,97.177,97177
2005-02-12,96.037,96037
2005-02-13,94.932,94932
2005-02-14,95.061,95061
2005-02-15,95.125,95125
2005-02-16,95.871,95871
2005-02-17,96.421,96421
2005-02-18,96.425,96425
2005-02-19,95.595,95595
2005-02-20,95.227,95227
2005-02-21,94.898,94898
2005-02-22,94.758,94758
2005-02-23,95.146,95146
2005-02-24,95.495,95495
2005-02-25,95.666,95666
2005-02-26,95.527,95527
2005-02-27,95.408,95408
2005-02-28,96.005,96005
2005-03-01,95.544,95544
2005-03-02,95.091,95091
2005-03-03,94.994,94994
2005-03-04,95.404,95404
2005-03-05,94.943,94943
2005-03-06,95.689,95689
2005-03-07,96.541,96541
2005-03-08,96.826,96826
2005-03-09,97.124,97124
2005-03-10,97.06,97060
2005-03-11,96.323,96323
2005-03-12,95.406,95406
2005-03-13,95.765,95765
2005-03-14,95.998,95998
2005-03-15,96.802,96802
2005-03-16,97.363,97363
2005-03-17,97.535,97535
2005-03-18,97.439,97439
2005-03-19,96.857,96857
2005-03-20,96.391,96391
2005-03-21,96.033,96033
2005-03-22,96.007,96007
2005-03-23,96.374,96374
2005-03-24,96.3,96300
2005-03-25,96.296,96296
2005-03-26,95.535,95535
2005-03-27,95.314,95314
2005-03-28,95.838,95838
2005-03-29,95.899,95899
2005-03-30,96.072,96072
2005-03-31,96.539,96539
2005-04-01,96.776,96776
2005-04-02,96.652,96652
2005-04-03,96.858,96858
2005-04-04,97,97000
2005-04-05,97.113,97113
2005-04-06,96.71,96710
2005-04-07,95.718,95718
2005-04-08,95.123,95123
2005-04-09,95.687,95687
2005-04-10,96.761,96761
2005-04-11,96.712,96712
2005-04-12,96.361,96361
2005-04-13,95.889,95889
2005-04-14,95.385,95385
2005-04-15,95.054,95054
2005-04-16,94.489,94489
2005-04-17,94.556,94556
2005-04-18,94.937,94937
2005-04-19,95.131,95131
2005-04-20,95.507,95507
2005-04-21,96.024,96024
2005-04-22,96.061,96061
2005-04-23,95.85,95850
2005-04-24,95.662,95662
2005-04-25,95.595,95595
2005-04-26,96.248,96248
2005-04-27,96.52,96520
2005-04-28,96.766,96766
2005-04-29,96.701,96701
2005-04-30,96.33,96330
2005-05-01,96.114,96114
2005-05-02,96.266,96266
2005-05-03,96.373,96373
2005-05-04,96.236,96236
2005-05-05,96.189,96189
2005-05-06,96.38,96380
2005-05-07,95.986,95986
2005-05-08,95.912,95912
2005-05-09,95.834,95834
2005-05-10,96.027,96027
2005-05-11,96.449,96449
2005-05-12,96.204,96204
2005-05-13,96.148,96148
2005-05-14,95.961,95961
2005-05-15,96.211,96211
2005-05-16,95.922,95922
2005-05-17,95.804,95804
2005-05-18,96.287,96287
2005-05-19,96.839,96839
2005-05-20,96.625,96625
2005-05-21,96.267,96267
2005-05-22,96.07,96070
2005-05-23,96.485,96485
2005-05-24,97.046,97046
2005-05-25,97.115,97115
2005-05-26,96.806,96806
2005-05-27,96.463,96463
2005-05-28,96.478,96478
2005-05-29,96.381,96381
2005-05-30,96.592,96592
2005-05-31,97.062,97062
2005-06-01,96.755,96755
2005-06-02,96.433,96433
2005-06-03,96.072,96072
2005-06-04,96.353,96353
2005-06-05,96.598,96598
2005-06-06,96.612,96612
2005-06-07,97.228,97228
2005-06-08,97.568,97568
2005-06-09,97.166,97166
2005-06-10,96.599,96599
2005-06-11,95.959,95959
2005-06-12,95.633,95633
2005-06-13,95.55,95550
2005-06-14,95.908,95908
2005-06-15,96.575,96575
2005-06-16,97.002,97002
2005-06-17,97.338,97338
2005-06-18,97.017,97017
2005-06-19,96.532,96532
2005-06-20,96.344,96344
2005-06-21,96.459,96459
2005-06-22,96.687,96687
2005-06-23,96.641,96641
2005-06-24,96.349,96349
2005-06-25,96.496,96496
2005-06-26,96.779,96779
2005-06-27,96.673,96673
2005-06-28,96.308,96308
2005-06-29,95.799,95799
2005-06-30,95.893,95893
2005-07-01,96.369,96369
2005-07-02,96.871,96871
2005-07-03,96.499,96499
2005-07-04,95.896,95896
2005-07-05,96.211,96211
2005-07-06,95.995,95995
2005-07-07,96.064,96064
2005-07-08,96.185,96185
2005-07-09,96.365,96365
2005-07-10,96.619,96619
2005-07-11,96.982,96982
2005-07-12,96.939,96939
2005-07-13,96.739,96739
2005-07-14,96.707,96707
2005-07-15,96.508,96508
2005-07-16,96.343,96343
2005-07-17,96.253,96253
2005-07-18,95.906,95906
2005-07-19,96.594,96594
2005-07-20,97.005,97005
2005-07-21,96.628,96628
2005-07-22,96.119,96119
2005-07-23,95.862,95862
2005-07-24,95.757,95757
2005-07-25,95.757,95757
2005-07-26,95.953,95953
2005-07-27,95.95,95950
2005-07-28,96.023,96023
2005-07-29,96.114,96114
2005-07-30,96.306,96306
2005-07-31,96.301,96301
2005-08-01,96.311,96311
2005-08-02,96.318,96318
2005-08-03,96.722,96722
2005-08-04,97.027,97027
2005-08-05,96.848,96848
2005-08-06,96.497,96497
2005-08-07,96.16,96160
2005-08-08,96.329,96329
2005-08-09,96.215,96215
2005-08-10,96.048,96048
2005-08-11,96.101,96101
2005-08-12,96.209,96209
2005-08-13,96.494,96494
2005-08-14,96.34,96340
2005-08-15,96.576,96576
2005-08-16,96.597,96597
2005-08-17,96.377,96377
2005-08-18,96.212,96212
2005-08-19,96.322,96322
2005-08-20,96.436,96436
2005-08-21,96.088,96088
2005-08-22,95.906,95906
2005-08-23,96.198,96198
2005-08-24,96.203,96203
2005-08-25,95.862,95862
2005-08-26,96.442,96442
2005-08-27,96.433,96433
2005-08-28,96.653,96653
2005-08-29,96.898,96898
2005-08-30,96.963,96963
2005-08-31,96.489,96489
2005-09-01,96.416,96416
2005-09-02,96.907,96907
2005-09-03,97.087,97087
2005-09-04,96.883,96883
2005-09-05,96.351,96351
2005-09-06,95.926,95926
2005-09-07,95.965,95965
2005-09-08,96.236,96236
2005-09-09,95.892,95892
2005-09-10,95.884,95884
2005-09-11,95.749,95749
2005-09-12,96.142,96142
2005-09-13,96.851,96851
2005-09-14,97.091,97091
2005-09-15,96.773,96773
2005-09-16,95.649,95649
2005-09-17,96.115,96115
2005-09-18,96.551,96551
2005-09-19,96.651,96651
2005-09-20,96.821,96821
2005-09-21,96.612,96612
2005-09-22,96.536,96536
2005-09-23,96.435,96435
2005-09-24,96.44,96440
2005-09-25,96.195,96195
2005-09-26,96.691,96691
2005-09-27,96.793,96793
2005-09-28,96.804,96804
2005-09-29,96.706,96706
2005-09-30,97.035,97035
2005-10-01,96.41,96410
2005-10-02,96.377,96377
2005-10-03,96.651,96651
2005-10-04,96.505,96505
2005-10-05,96.681,96681
2005-10-06,96.677,96677
2005-10-07,96.523,96523
2005-10-08,96.607,96607
2005-10-09,96.906,96906
2005-10-10,96.86,96860
2005-10-11,96.533,96533
2005-10-12,96.455,96455
2005-10-13,96.474,96474
2005-10-14,96.999,96999
2005-10-15,97.17,97170
2005-10-16,97.005,97005
2005-10-17,96.688,96688
2005-10-18,96.478,96478
2005-10-19,96.366,96366
2005-10-20,96.137,96137
2005-10-21,95.694,95694
2005-10-22,95.635,95635
2005-10-23,96.226,96226
2005-10-24,96.72,96720
2005-10-25,96.479,96479
2005-10-26,96.784,96784
2005-10-27,96.736,96736
2005-10-28,96.685,96685
2005-10-29,96.606,96606
2005-10-30,96.51,96510
2005-10-31,96.129,96129
2005-11-01,96.443,96443
2005-11-02,96.564,96564
2005-11-03,96.475,96475
2005-11-04,96.303,96303
2005-11-05,97.036,97036
2005-11-06,97.163,97163
2005-11-07,97.127,97127
2005-11-08,96.979,96979
2005-11-09,96.841,96841
2005-11-10,97.777,97777
2005-11-11,97.55,97550
2005-11-12,96.514,96514
2005-11-13,96.373,96373
2005-11-14,96.648,96648
2005-11-15,95.919,95919
2005-11-16,95.091,95091
2005-11-17,95.72,95720
2005-11-18,96.382,96382
2005-11-19,97.034,97034
2005-11-20,97.425,97425
2005-11-21,97.238,97238
2005-11-22,97.245,97245
2005-11-23,97.014,97014
2005-11-24,96.157,96157
2005-11-25,94.222,94222
2005-11-26,94.08,94080
2005-11-27,94.287,94287
2005-11-28,94.712,94712
2005-11-29,94.989,94989
2005-11-30,95.663,95663
2005-12-01,95.572,95572
2005-12-02,94.757,94757
2005-12-03,94.882,94882
2005-12-04,94.96,94960
2005-12-05,94.8,94800
2005-12-06,95.137,95137
2005-12-07,96.074,96074
2005-12-08,96.206,96206
2005-12-09,97.155,97155
2005-12-10,97.851,97851
2005-12-11,97.685,97685
2005-12-12,97.108,97108
2005-12-13,97.229,97229
2005-12-14,96.897,96897
2005-12-15,96.685,96685
2005-12-16,95.781,95781
2005-12-17,95.573,95573
2005-12-18,96.555,96555
2005-12-19,96.972,96972
2005-12-20,97.384,97384
2005-12-21,97.531,97531
2005-12-22,97.569,97569
2005-12-23,97.251,97251
2005-12-24,96.908,96908
2005-12-25,96.434,96434
2005-12-26,95.711,95711
2005-12-27,94.897,94897
2005-12-28,95.131,95131
2005-12-29,95.865,95865
2005-12-30,95.97,95970
2005-12-31,95.213,95213
2006-01-01,95.13,95130
2006-01-02,95.977,95977
2006-01-03,96.962,96962
2006-01-04,96.752,96752
2006-01-05,96.009,96009
2006-01-06,96.182,96182
2006-01-07,96.729,96729
2006-01-08,96.93,96930
2006-01-09,97.136,97136
2006-01-10,97.379,97379
2006-01-11,97.426,97426
2006-01-12,97.425,97425
2006-01-13,97.339,97339
2006-01-14,97.306,97306
2006-01-15,96.846,96846
2006-01-16,96.591,96591
2006-01-17,95.832,95832
2006-01-18,95.765,95765
2006-01-19,96.738,96738
2006-01-20,96.854,96854
2006-01-21,96.885,96885
2006-01-22,97.325,97325
2006-01-23,97.509,97509
2006-01-24,97.41,97410
2006-01-25,96.557,96557
2006-01-26,95.682,95682
2006-01-27,95.957,95957
2006-01-28,96.117,96117
2006-01-29,96.525,96525
2006-01-30,96.702,96702
2006-01-31,96.662,96662
2006-02-01,96.635,96635
2006-02-02,96.335,96335
2006-02-03,96.089,96089
2006-02-04,96.438,96438
2006-02-05,96.975,96975
2006-02-06,97.037,97037
2006-02-07,96.891,96891
2006-02-08,95.838,95838
2006-02-09,95.641,95641
2006-02-10,96.251,96251
2006-02-11,96.745,96745
2006-02-12,96.91,96910
2006-02-13,96.693,96693
2006-02-14,96.549,96549
2006-02-15,95.686,95686
2006-02-16,94.321,94321
2006-02-17,94.526,94526
2006-02-18,94.775,94775
2006-02-19,94.641,94641
2006-02-20,94.849,94849
2006-02-21,95.424,95424
2006-02-22,96.045,96045
2006-02-23,96.076,96076
2006-02-24,95.469,95469
2006-02-25,95.285,95285
2006-02-26,95.62,95620
2006-02-27,95.864,95864
2006-02-28,95.294,95294
2006-03-01,95.178,95178
2006-03-02,95.148,95148
2006-03-03,94.515,94515
2006-03-04,94.167,94167
2006-03-05,94.92,94920
2006-03-06,96.015,96015
2006-03-07,96.46,96460
2006-03-08,95.628,95628
2006-03-09,95.108,95108
2006-03-10,95.249,95249
2006-03-11,95.281,95281
2006-03-12,96.575,96575
2006-03-13,96.878,96878
2006-03-14,96.577,96577
2006-03-15,96.149,96149
2006-03-16,96.196,96196
2006-03-17,96.244,96244
2006-03-18,95.882,95882
2006-03-19,95.564,95564
2006-03-20,95.463,95463
2006-03-21,95.185,95185
2006-03-22,95.119,95119
2006-03-23,95.308,95308
2006-03-24,95.086,95086
2006-03-25,95.783,95783
2006-03-26,96.229,96229
2006-03-27,95.764,95764
2006-03-28,95.596,95596
2006-03-29,95.926,95926
2006-03-30,96.004,96004
2006-03-31,96.085,96085
2006-04-01,96.126,96126
2006-04-02,96.178,96178
2006-04-03,96.502,96502
2006-04-04,96.09,96090
2006-04-05,95.234,95234
2006-04-06,95.856,95856
2006-04-07,96,96000
2006-04-08,95.838,95838
2006-04-09,95.783,95783
2006-04-10,95.505,95505
2006-04-11,96.25,96250
2006-04-12,96.084,96084
2006-04-13,96.26,96260
2006-04-14,96.199,96199
2006-04-15,95.903,95903
2006-04-16,96.045,96045
2006-04-17,95.983,95983
2006-04-18,95.994,95994
2006-04-19,96.018,96018
2006-04-20,96.067,96067
2006-04-21,96.102,96102
2006-04-22,96.232,96232
2006-04-23,96.144,96144
2006-04-24,96.233,96233
2006-04-25,96.414,96414
2006-04-26,96.451,96451
2006-04-27,96.307,96307
2006-04-28,96.101,96101
2006-04-29,95.911,95911
2006-04-30,95.828,95828
2006-05-01,95.718,95718
2006-05-02,96.053,96053
2006-05-03,96.284,96284
2006-05-04,96.237,96237
2006-05-05,96.542,96542
2006-05-06,96.484,96484
2006-05-07,96.314,96314
2006-05-08,95.977,95977
2006-05-09,96.174,96174
2006-05-10,96.191,96191
2006-05-11,96.205,96205
2006-05-12,96.379,96379
2006-05-13,96.531,96531
2006-05-14,96.737,96737
2006-05-15,96.45,96450
2006-05-16,96.493,96493
2006-05-17,96.602,96602
2006-05-18,96.307,96307
2006-05-19,96.247,96247
2006-05-20,95.529,95529
2006-05-21,95.624,95624
2006-05-22,95.381,95381
2006-05-23,96.425,96425
2006-05-24,96.849,96849
2006-05-25,96.902,96902
2006-05-26,97.034,97034
2006-05-27,97.1,97100
2006-05-28,96.692,96692
2006-05-29,95.959,95959
2006-05-30,95.913,95913
2006-05-31,96.29,96290
2006-06-01,96.782,96782
2006-06-02,97.025,97025
2006-06-03,97.109,97109
2006-06-04,96.842,96842
2006-06-05,96.753,96753
2006-06-06,96.899,96899
2006-06-07,97.058,97058
2006-06-08,97.028,97028
2006-06-09,96.915,96915
2006-06-10,96.774,96774
2006-06-11,96.857,96857
2006-06-12,97.002,97002
2006-06-13,96.861,96861
2006-06-14,96.476,96476
2006-06-15,96.366,96366
2006-06-16,96.383,96383
2006-06-17,96.447,96447
2006-06-18,96.417,96417
2006-06-19,96.342,96342
2006-06-20,96.381,96381
2006-06-21,96.254,96254
2006-06-22,96.261,96261
2006-06-23,96.335,96335
2006-06-24,96.164,96164
2006-06-25,95.961,95961
2006-06-26,96.331,96331
2006-06-27,96.481,96481
2006-06-28,96.449,96449
2006-06-29,96.543,96543
2006-06-30,96.823,96823
2006-07-01,96.77,96770
2006-07-02,96.47,96470
2006-07-03,96.229,96229
2006-07-04,96.302,96302
2006-07-05,96.418,96418
2006-07-06,96.563,96563
2006-07-07,96.575,96575
2006-07-08,96.632,96632
2006-07-09,96.637,96637
2006-07-10,97.035,97035
2006-07-11,96.908,96908
2006-07-12,96.811,96811
2006-07-13,96.678,96678
2006-07-14,96.802,96802
2006-07-15,96.952,96952
2006-07-16,96.952,96952
2006-07-17,96.866,96866
2006-07-18,96.751,96751
2006-07-19,96.724,96724
2006-07-20,96.739,96739
2006-07-21,96.743,96743
2006-07-22,96.492,96492
2006-07-23,96.613,96613
2006-07-24,96.515,96515
2006-07-25,96.384,96384
2006-07-26,96.451,96451
2006-07-27,96.333,96333
2006-07-28,96.03,96030
2006-07-29,95.903,95903
2006-07-30,96.122,96122
2006-07-31,96.239,96239
2006-08-01,95.997,95997
2006-08-02,95.919,95919
2006-08-03,95.444,95444
2006-08-04,95.828,95828
2006-08-05,96.2,96200
2006-08-06,96.461,96461
2006-08-07,96.408,96408
2006-08-08,96.144,96144
2006-08-09,96.115,96115
2006-08-10,96.075,96075
2006-08-11,95.957,95957
2006-08-12,95.592,95592
2006-08-13,95.467,95467
2006-08-14,95.765,95765
2006-08-15,95.906,95906
2006-08-16,95.464,95464
2006-08-17,95.312,95312
2006-08-18,95.673,95673
2006-08-19,96.264,96264
2006-08-20,96.788,96788
2006-08-21,96.816,96816
2006-08-22,96.56,96560
2006-08-23,96.246,96246
2006-08-24,95.902,95902
2006-08-25,95.829,95829
2006-08-26,95.836,95836
2006-08-27,96.173,96173
2006-08-28,95.947,95947
2006-08-29,95.846,95846
2006-08-30,96.543,96543
2006-08-31,97.108,97108
2006-09-01,96.681,96681
2006-09-02,96.37,96370
2006-09-03,96.706,96706
2006-09-04,97.207,97207
2006-09-05,97.107,97107
2006-09-06,96.575,96575
2006-09-07,96.268,96268
2006-09-08,96.905,96905
2006-09-09,96.945,96945
2006-09-10,96.924,96924
2006-09-11,96.842,96842
2006-09-12,96.584,96584
2006-09-13,96.264,96264
2006-09-14,95.551,95551
2006-09-15,94.993,94993
2006-09-16,95.562,95562
2006-09-17,95.694,95694
2006-09-18,96.064,96064
2006-09-19,96.371,96371
2006-09-20,96.438,96438
2006-09-21,96.227,96227
2006-09-22,96.033,96033
