date,n2o
2022-08-13,
2022-08-14,
2022-08-15,
2022-08-16,
2022-08-17,
2022-08-18,
2022-08-19,
2022-08-20,
2022-08-21,
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,
2022-08-27,
2022-08-28,
2022-08-29,
2022-08-30,0.057164961
2022-08-31,0.108831444
2022-09-01,
2022-09-02,
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,-0.067143143
2022-09-10,0.352882193
2022-09-11,0.755244194
2022-09-12,0.132124283
2022-09-13,
2022-09-14,
2022-09-15,
2022-09-16,0.885198778
2022-09-17,0.478405384
2022-09-18,0.238914491
2022-09-19,0.317252398
2022-09-20,0.279746786
2022-09-21,0.198134498
2022-09-22,0.158061247
2022-09-23,0.195683218
2022-09-24,0.6030746
2022-09-25,0.262538708
2022-09-26,0.312601215
2022-09-27,0.30296675
2022-09-28,0.543962139
2022-09-29,0.245540465
2022-09-30,
2022-10-01,
2022-10-02,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,
2022-10-08,
2022-10-09,0.139823037
2022-10-10,0.546930154
2022-10-11,1.278849925
2022-10-12,0.358115057
2022-10-13,0.408367558
2022-10-14,1.473586152
2022-10-15,2.797059868
2022-10-16,
2022-10-17,1.31735693
2022-10-18,1.156884797
2022-10-19,0.684948446
2022-10-20,0.614144931
2022-10-21,2.757715746
2022-10-22,6.276365765
2022-10-23,2.07458098
2022-10-24,1.722672073
2022-10-25,1.99440087
2022-10-26,1.66896222
2022-10-27,0.977130414
2022-10-28,0.721955896
2022-10-29,0.672973748
2022-10-30,0.674016127
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-05,
2022-11-06,
2022-11-07,
2022-11-08,
2022-11-09,0.5746537
2022-11-10,0.370771526
2022-11-11,0.438620247
2022-11-12,0.126984141
2022-11-13,0.268648295
2022-11-14,0.264827128
2022-11-15,0.04788725
2022-11-16,0.838014722
2022-11-17,0.527766523
2022-11-18,0.741447127
2022-11-19,0.652779124
2022-11-20,0.628804077
2022-11-21,0.429107068
2022-11-22,0.378926902
2022-11-23,0.551738269
2022-11-24,0.333583501
2022-11-25,0.171312058
2022-11-26,0.319401322
2022-11-27,0.478989268
2022-11-28,0.439012287
2022-11-29,0.390995241
2022-11-30,0.303124736
2022-12-01,
2022-12-02,
2022-12-03,
2022-12-04,
2022-12-05,
2022-12-06,
2022-12-07,
2022-12-08,
2022-12-09,
2022-12-10,0.348826715
2022-12-11,0.287177602
2022-12-12,0.17088449
2022-12-13,0.192239699
2022-12-14,0.193051797
2022-12-15,-0.000641821
2022-12-16,0.186073177
2022-12-17,0.699207944
2022-12-18,0.968997319
2022-12-19,0.520431048
2022-12-20,0.308239318
2022-12-21,0.192162702
2022-12-22,0.470553795
2022-12-23,0.494238164
2022-12-24,0.308796994
2022-12-25,0.574670017
2022-12-26,0.600098864
2022-12-27,0.404671476
2022-12-28,0.395239717
2022-12-29,0.717979186
2022-12-30,0.289137573
2022-12-31,0.317688102
2023-01-01,0.236353735
2023-01-02,0.379331749
2023-01-03,3.203590341
2023-01-04,0.408370251
2023-01-05,0.246080153
2023-01-06,-0.345378575
2023-01-07,0.085254747
2023-01-08,2.050532573
2023-01-09,0.567190113
2023-01-10,1.300317722
2023-01-11,
2023-01-12,
2023-01-13,-0.057519753
2023-01-14,0.167965832
2023-01-15,
2023-01-16,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,0.909924414
2023-01-24,0.586026067
2023-01-25,0.290548128
2023-01-26,0.268791272
2023-01-27,0.560526261
2023-01-28,0.589895728
2023-01-29,0.649323743
2023-01-30,0.888785916
2023-01-31,0.727285213
2023-02-01,0.275378
2023-02-02,
2023-02-03,5.84619592
2023-02-04,0.945453458
2023-02-05,0.137110789
2023-02-06,-0.216177851
2023-02-07,-0.14761136
2023-02-08,2.555582734
2023-02-09,0.300761955
2023-02-10,1.55951767
2023-02-11,
2023-02-12,
2023-02-13,0.300638772
2023-02-14,-0.183648864
2023-02-15,0.172310672
2023-02-16,0.268671393
2023-02-17,0.168271416
2023-02-18,-0.019764116
2023-02-19,0.214616573
2023-02-20,0.057078584
2023-02-21,-0.071734049
2023-02-22,-0.049749785
2023-02-23,0.002461652
2023-02-24,0.159042975
2023-02-25,0.187702505
2023-02-26,
2023-02-27,
2023-02-28,0.390274611
2023-03-01,0.113398825
2023-03-02,
2023-03-03,2.847714715
2023-03-04,0.155291431
2023-03-05,-0.026707376
2023-03-06,-0.429837107
2023-03-07,0.141062769
2023-03-08,1.800492903
2023-03-09,-0.128685055
2023-03-10,1.736696818
2023-03-11,
2023-03-12,
2023-03-13,16.2488576
2023-03-14,4.414445678
2023-03-15,7.271237146
2023-03-16,5.947441899
2023-03-17,3.992601182
2023-03-18,2.54376495
2023-03-19,1.506368721
2023-03-20,1.538027474
2023-03-21,1.254091711
2023-03-22,1.165641792
2023-03-23,1.049303027
2023-03-24,1.32271596
2023-03-25,3.518897933
2023-03-26,2.834883706
2023-03-27,3.022067002
2023-03-28,4.038977955
2023-03-29,4.46041972
2023-03-30,1.598978808
2023-03-31,0.812899899
2023-04-01,0.122911895
2023-04-02,
2023-04-03,2.16577053
2023-04-04,0.426149594
2023-04-05,0.297158613
2023-04-06,-0.531560999
2023-04-07,-0.02590357
2023-04-08,0.945167201
2023-04-09,0.245533053
2023-04-10,1.087002072
2023-04-11,
2023-04-12,
2023-04-13,4.57005428
2023-04-14,4.420630503
2023-04-15,2.36506414
2023-04-16,2.052244171
2023-04-17,1.476310074
2023-04-18,0.529368257
2023-04-19,0.307585065
2023-04-20,0.475481293
2023-04-21,0.686829445
2023-04-22,0.247116512
2023-04-23,0.997059298
2023-04-24,0.338946507
2023-04-25,0.338457353
2023-04-26,0.17901746
2023-04-27,0.14820227
2023-04-28,0.620094585
2023-04-29,1.198528926
2023-04-30,0.402242445
2023-05-01,-0.038071542
2023-05-02,
2023-05-03,1.237305199
2023-05-04,0.318139905
2023-05-05,1.227839
2023-05-06,-0.238318472
2023-05-07,1.329236505
2023-05-08,0.671505353
2023-05-09,-0.032769098
2023-05-10,0.881944793
2023-05-11,
2023-05-12,
2023-05-13,
2023-05-14,
2023-05-15,0.44893245
2023-05-16,0.598220107
2023-05-17,-0.130956251
2023-05-18,-0.161378818
2023-05-19,-0.184150676
2023-05-20,0.005718646
2023-05-21,0.143442821
2023-05-22,0.036006951
2023-05-23,-0.060654146
2023-05-24,-0.034424546
2023-05-25,-0.10229769
2023-05-26,-0.320404536
2023-05-27,-0.48133859
2023-05-28,-0.391254293
2023-05-29,-0.43115168
2023-05-30,-0.421508277
2023-05-31,-0.299607558
2023-06-01,0.230456408
2023-06-02,
2023-06-03,0.776374199
2023-06-04,0.750129371
2023-06-05,
2023-06-06,-0.457292405
2023-06-07,-0.016483494
2023-06-08,1.112344744
2023-06-09,-0.128642621
2023-06-10,
2023-06-11,
2023-06-12,
2023-06-13,-0.118341313
2023-06-14,-0.156950339
2023-06-15,-0.163688075
2023-06-16,-0.139346842
2023-06-17,-0.215330818
2023-06-18,-0.224318153
2023-06-19,-0.060735416
2023-06-20,12.99493298
2023-06-21,5.388445319
2023-06-22,1.171664705
2023-06-23,1.688069538
2023-06-24,0.293749449
2023-06-25,-0.209365527
2023-06-26,-0.538396765
2023-06-27,0.027497199
2023-06-28,-0.244202127
2023-06-29,0.090055219
2023-06-30,0.111026944
2023-07-01,0.147409925
2023-07-02,0.18446535
2023-07-03,0.690390606
2023-07-04,
2023-07-05,
2023-07-06,-0.108225393
2023-07-07,-0.183182903
2023-07-08,0.992347862
2023-07-09,-0.139255683
2023-07-10,
2023-07-11,
2023-07-12,
2023-07-13,0.90835597
2023-07-14,0.364092306
2023-07-15,-0.024286451
2023-07-16,0.536414836
2023-07-17,0.393454782
2023-07-18,0.213932693
2023-07-19,-0.026724107
2023-07-20,0.168524499
2023-07-21,0.826309012
2023-07-22,0.243984704
2023-07-23,0.325276975
2023-07-24,1.868712152
2023-07-25,0.733222773
2023-07-26,1.200546589
2023-07-27,0.994155413
2023-07-28,1.879017883
2023-07-29,4.471716167
2023-07-30,8.691822522
2023-07-31,2.463037901
2023-08-01,0.336701876
2023-08-02,0.278948228
2023-08-03,0.441169956
2023-08-04,
2023-08-05,
2023-08-06,-0.435522465
2023-08-07,3.46551591
2023-08-08,0.972538911
2023-08-09,0.113722663
2023-08-10,
2023-08-11,
2023-08-12,
2023-08-13,1.088009469
2023-08-14,0.466791319
2023-08-15,0.717039129
2023-08-16,0.16672526
2023-08-17,0.30319708
2023-08-18,0.187018144
2023-08-19,0.544135036
2023-08-20,0.292958627
2023-08-21,0.235450542
2023-08-22,0.115768215
2023-08-23,0.0794263
2023-08-24,1.087896784
2023-08-25,0.748966894
2023-08-26,0.703493126
2023-08-27,1.153991215
2023-08-28,0.911161836
2023-08-29,1.080475479
2023-08-30,1.075822923
2023-08-31,0.497732671
2023-09-01,0.104535558
2023-09-02,0.623360572
2023-09-03,
2023-09-04,
2023-09-05,
2023-09-06,-0.366070079
2023-09-07,0.151513011
2023-09-08,1.018982686
2023-09-09,-0.225814145
2023-09-10,
2023-09-11,
2023-09-12,
2023-09-13,0.39374095
2023-09-14,0.466233082
2023-09-15,0.039788029
2023-09-16,0.02713953
2023-09-17,-0.278515022
2023-09-18,0.802597577
2023-09-19,0.532601683
2023-09-20,0.360001051
2023-09-21,0.253811944
2023-09-22,0.712905931
2023-09-23,0.201922133
2023-09-24,0.110082452
2023-09-25,1.554264141
2023-09-26,1.176450194
2023-09-27,0.723774554
2023-09-28,1.645764363
2023-09-29,1.391405811
2023-09-30,1.359380881
2023-10-01,0.020881964
2023-10-02,0.585238659
2023-10-03,6.262767355
2023-10-04,
2023-10-05,
2023-10-06,-0.200723678
2023-10-07,0.386102233
2023-10-08,0.709353468
2023-10-09,-0.279073668
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-21,
2023-10-22,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-28,
2023-10-29,
2023-10-30,
2023-10-31,
2023-11-01,0.210237428
2023-11-02,0.866822655
2023-11-03,10.79418878
2023-11-04,1.695927398
2023-11-05,
2023-11-06,-0.460836471
2023-11-07,0.303877649
2023-11-08,0.666535479
2023-11-09,0.033010545
2023-11-10,
2023-11-11,
2023-11-12,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-18,
2023-11-19,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,0.062855829
2023-12-02,0.371884268
2023-12-03,10.56870697
2023-12-04,2.173686496
2023-12-05,
2023-12-06,-0.347820272
2023-12-07,1.234752918
2023-12-08,0.645539392
2023-12-09,-0.055677168
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-16,
2023-12-17,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-23,
2023-12-24,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2023-12-30,
2023-12-31,
