"Label","Description","Units (preferred) or format","Category","Used In"
"DAY","2 digit day of month","dd","",""
"DBH","diameter of tree measured at breast height(1.3 m)","cm","",""
"DBH","Diameter of tree measured at breast height (1.3m) with continuous dendrometers","cm","","Ameriflux"
"DENDRO","Dendrometer","mm","",""
"DIF","Diffuse","-","",""
"discontinuities","Hard flags for individual variables for discontinuities test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"discontinuities","Soft flags for individual variables for discontinuities test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"DNTP","Time Difference between NTP Clock and Clock","msec","",""
"DO","Dissolved oxygen in water","µmol L-1","","Ameriflux"
"DOC","Dissolved organic carbon","mg l-1","",""
"DOY","3 digit day of year","ddd","",""
"drop_out","Hard flags for individual variables for drop-out test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"DT","Daytime (used in partitioning)","-","","Fluxes"
"e","Ambient water vapor partial pressure","Pa","","EddyPro (_full_output_ file)"
"E0","activation energy parameter (K) in relationship between temperature and nighttime NEE from night-time partitioning","","","ReddyProc"
"EBC_CF_METHOD","Method used to calculate the energy balance closure correction factor; 1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"EBC_CF_METHOD","Method used to calculate the energy balance closure correction factor. 1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details","nondimensional","","ICOS / FLUXNET"
"EBC_CF_N","Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1) or number of ECB_CF data points (for ECB_CF Methods 2 and 3); for ECB_CF Method 1 (minimum 5, maximum 93)","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"EBC_CF_N","Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1) or number of ECB_CF data points (for ECB_CF Methods 2 and 3).","nondimensional","","ICOS / FLUXNET"
"EC","Eddy covariance","-","","Fluxes"
"EP","EddyPro Flux Calculation Software","-","",""
"es","Ambient water vapor partial pressure at saturation","Pa","","EddyPro (_full_output_ file)"
"ET","Evapotranspiration flux","mm hour-1","","EddyPro (_full_output_ file)"
"ET_f","Gap-filled evapotranspiration flux, calculated from gap-filled LE","mmol H20 m-2 s-1","","ReddyProc"
"EXT","External","-","",""
"extravar_mean","Mean value of extravar","(‡)","","EddyPro (_full_output_ file)"
"f","(suffix) Original values and gaps filled with mean of selected datapoints (condition depending on gap filling method)","","","ReddyProc"
"fall","(suffix) All values considered as gaps (for uncertainty estimates)","","","ReddyProc"
"fall_qc","(suffix) All values considered as gaps (for uncertainty estimates)","","","ReddyProc"
"FAPAR","Fraction of absorbed PAR, range 0-100","%","","Ameriflux"
"FC","Carbon Dioxide (CO2) turbulent flux (no storage correction)","umolCO2 m-2 s-1","","ICOS / Ameriflux"
"FC_FMR_FLAG","Flag for the FMR test for FC (0: negligible evidences of error, IF FMR15)","nondimensional","","ICOS"
"FC_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for FC flux estimation","%","","ICOS"
"FC_LGD_FLAG","Flag for the LGD test for FC (0: negligible evidences of error, IF LGD180)","nondimensional","","ICOS"
"FC_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for FC flux estimation","seconds","","ICOS"
"FC_LSR_FLAG","Flag for the LSR test for FC (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99?LSR_STAT?0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","","ICOS"
"FC_LSR_STAT","Statistic of the Low Signal Resolution test for FC","nondimensional","","ICOS"
"FC_M98_FLAG","Flag of the FC_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","","ICOS"
"FC_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998) for FC","nondimensional","","ICOS"
"FC_SCF_STAT","Spectral correction factor for NEE","nondimensional","","ICOS"
"FC_SSITC_TEST","Results of the quality flagging for FC according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"FC_SSITC_TEST","Quality flagging for FC according to classification scheme by Foken et al (2004) and based on the combination of the results of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (0: high quality; 1:intermediate quality","nondimensional","","ICOS"
"FCH4","Methane (CH4) turbulent flux (no storage correction)","nmolCH4 m-2 s-1","","Ameriflux"
"FCH4_L2_QCF","CH4 flux quality-controlled with Level-2 flags","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_L3.1_L3.2_QCF","CH4 flux quality-controlled with Level-2 and Level-3.2 flags, including Level-3.1 storage correction)","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_L3.1_L3.2_QCF0","CH4 highest-quality flux (QCF=0), quality-controlled with Level-2 and Level-3.2 flags, including Level-3.1 storage correction)","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_L3.1_L3.3_CUT_50_QCF","CH4 flux quality-controlled with Level-2 and Level-3.2 flags, and after Level-3.3 USTAR filtering (CUT_50), including Level-3.1 storage correction","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_L3.1_L3.3_CUT_50_QCF_gfRF","CH4 flux quality-controlled with Level-2 and Level-3.2 flags, and after Level-3.3 USTAR filtering (CUT_50), including Level-3.1 storage correction, gap-filled using random forest","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_L3.1_QCF","CH4 flux quality-controlled with Level-2 flags, including Level-3.1 storage correction","nmol CH4 m-2 s-1","FLUX","diive"
"FCH4_SSITC_TEST","Results of the quality flagging for FCH4 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"FETCH_70","Distance at which footprint cumulative probability is 70%","m","",""
"FETCH_70","Distance at which cross-wind integrated footprint cumulative probability is 70%","m","","ICOS"
"FETCH_80","Distance at which footprint cumulative probability is 80%","m","",""
"FETCH_80","Distance at which cross-wind integrated footprint cumulative probability is 80%","m","","ICOS"
"FETCH_90","Distance at which footprint cumulative probability is 90%","m","",""
"FETCH_90","Distance at which cross-wind integrated footprint cumulative probability is 90%","m","","ICOS"
"FETCH_FILTER","Footprint quality flag (i.e., 0, 1): 0 and 1 indicate data measured when wind coming from direction that should be discarded and kept, respectively","nondimensional","","Ameriflux"
"FETCH_MAX","Distance at which footprint contribution is maximum","m","",""
"FETCH_MAX","Distance at which cross-wind integrated footprint contribution is maximum","m","","ICOS"
"file_records","Number of valid records found in the raw file (or set of raw files)","#","","EddyPro (_full_output_ file)"
"filename","Name of the raw file (or the first of a set) from which the dataset for the current averaging interval was extracted","-","","EddyPro (_full_output_ file)"
"FIPAR","Fraction of intercepted PAR, range 0-100","%","","Ameriflux"
"FIT_FLAG","Fit flag","flag","","EC raw data files (ASCII)"
"FLAG_(FLUX)_QCF","quality control flag, overall quality flag for the respective flux","0=best, 1=medium, 2=bad data","","diive"
"FLAG_FCH4_L3.1_L3.3_CUT_50_QCF_gfRF_ISFILLED","Flag showing whether the CH4 flux was gap-filled or measured","1=gap-filled, 0=measured","FLAG","diive"
"FLAG_FN2O_L3.1_L3.3_CUT_50_QCF_gfRF_ISFILLED","Flag showing whether the N2O flux was gap-filled or measured","1=gap-filled, 0=measured","FLAG","diive"
"FLOW_VOLRATE","Volume flow rate in the sampling line","L min-1","","EC raw data files (ASCII)"
"fmeth / FMETH","(suffix) Method used for gap filling: 1 = similar meteo condition (sFillLUT with Rg, VPD, Tair) 2 = similar meteo (sFillLUT with Rg only) 3 = mean diurnal course (sFillMDC))","","","ReddyProc"
"FN2O","Nitrous oxide (N2O) turbulent flux (no storage correction)","nmolN2O m-2 s-1","","Ameriflux"
"FN2O_L2_QCF","N2O flux quality-controlled with Level-2 flags","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_L3.1_L3.2_QCF","N2O flux quality-controlled with Level-2 and Level-3.2 flags, including Level-3.1 storage correction)","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_L3.1_L3.2_QCF0","N2O highest-quality flux (QCF=0), quality-controlled with Level-2 and Level-3.2 flags, including Level-3.1 storage correction)","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_L3.1_L3.3_CUT_50_QCF","N2O flux quality-controlled with Level-2 and Level-3.2 flags, and after Level-3.3 USTAR filtering (CUT_50), including Level-3.1 storage correction","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_L3.1_L3.3_CUT_50_QCF_gfRF","N2O flux quality-controlled with Level-2 and Level-3.2 flags, and after Level-3.3 USTAR filtering (CUT_50), including Level-3.1 storage correction, gap-filled using random forest","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_L3.1_QCF","N2O flux quality-controlled with Level-2 flags, including Level-3.1 storage correction","nmol N2O m-2 s-1","FLUX","diive"
"FN2O_SSITC_TEST","Results of the quality flagging for FN2O according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"FNO","Nitric oxide (NO) turbulent flux (no storage correction)","nmolNO m-2 s-1","","Ameriflux"
"FNO_SSITC_TEST","Results of the quality flagging for FNO according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"FNO2","Nitrogen dioxide (NO2) turbulent flux (no storage correction)","nmolNO2 m-2 s-1","","Ameriflux"
"FNO2_SSITC_TEST","Results of the quality flagging for FNO2 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"fnum","(suffix) Number of datapoints used for gap filling","#","","ReddyProc"
"FO3","Ozone (O3) turbulent flux (no storage correction)","nmolO3 m-2 s-1","","Ameriflux"
"FO3_SSITC_TEST","Results of the quality flagging for FO3 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"FOG","Fog presence","","",""
"FOOTPRINT_80_SURF","2D footprint 80% isoplethe area","m2","","ICOS"
"FOOTPRINT_FLAG","Footprint flag (0, 1, 2, 3). 0 = data used for footprint, 1 = 2D footprint model flag error, 2 = not all 2D footprint model isoplethes within specified domain, 3 = data removed because of invalid conditions for footprint model","nondimensional","","ICOS"
"FOOTPRINT_TA_CONTR","Cumulative footprint contribution of the footprint/target area intersection","%","","ICOS"
"FOOTPRINT_TA_SURF","Area of footprint/target area intersection","m2","","ICOS"
"FP","Flux partitioning","","","ReddyProc"
"FP__sd","estimated standard devation of X","","","ReddyProc"
"FP_alpha","canopy light utilization efficiency and represents the initial slope of the light–response curve (daytime partitioning)","","","ReddyProc"
"FP_beta","maximum CO2 uptake rate of the canopy at light saturation (μmol m-2 s-1) (daytime partitioning)","μmol m-2 s-1","","ReddyProc"
"FP_dRecPar","records until or after closest record that has a parameter estimate associated (daytime partitioning)","","","ReddyProc"
"FP_E0","activation energy parameter (K) in relationship between temperature and nighttime NEE from day-time partitioning","","","ReddyProc"
"FP_GPP2000","GPP at incoming radiation of 2000 Wm-2, more robust alternative to saturation FP_k","","","ReddyProc"
"FP_k","parameter controlling the VPD limitation of GPP (daytime partitioning) (daytime partitioning)","","","ReddyProc"
"FP_qc","quality flag of the estimated parameters: 0: good parameter fit, 1: some parameters out of range, required refit, 2: next parameter estimate is more than two weeks away (daytime partitioning)","","","ReddyProc"
"FP_RRef","respiration at reference temperature parameter (μmol m-2 s-1 as NEE) in relationship between temperature and nighttime NEE from day-time partitioning","μmol m-2 s-1","","ReddyProc"
"FP_RRef_Night","same as FP_RRef using the same FP_E0, but from intermedate step based on night-time data","","","ReddyProc"
"fqc / FQC","(suffix) Quality flag assigned depending on gap filling method and window length: 0 = original, 1 = most reliable, 2 = medium, 3 = least reliable","#","","ReddyProc"
"G","Soil heat flux","W m-2","","Ameriflux"
"G_F_MDS","Soil heat flux;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"G_F_MDS","Soil heat flux","W m-2","","ICOS / FLUXNET"
"G_F_MDS_QC","Quality flag of G_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"G_F_MDS_QC","Quality flag of G_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"G_SF","calibration/sensitivity factor of G","uV (W m-2)-1","",""
"GA_DIAG_CODE","GA diagnostic value","#","","EC raw data files (ASCII)"
"GA_DIAG_FLAG","Flag for gas analyzer (GA) instrumental diagnostics (0: negligible evidences of error; 2: severe evidences of error)","nondimensional","","ICOS"
"gas_def_timelag","Flag: whether the reported time lag is the default (T) or calculated (F)","T/F","","EddyPro (_full_output_ file)"
"gas_flux","Corrected gas flux","µmol m-2 s-1(†)","","EddyPro (_full_output_ file)"
"gas_mixing_ratio","Measured or estimated mixing ratio of gas","µmol mol-1(†)","","EddyPro (_full_output_ file)"
"gas_molar_density","Measured or estimated molar density of gas","mmol m-3","","EddyPro (_full_output_ file)"
"gas_mole_fraction","Measured or estimated mole fraction of gas","µmol mol-1(†)","","EddyPro (_full_output_ file)"
"gas_scf","Spectral correction factor for gas flux","#","","EddyPro (_full_output_ file)"
"gas_strg","Estimate of storage gas flux","µmol s-1 m-2(†)","","EddyPro (_full_output_ file)"
"gas_time_lag","Time lag used to synchronize gas time series","s","","EddyPro (_full_output_ file)"
"gas_v-adv","Estimate of vertical advection flux","µmol s-1 m-2(†)","","EddyPro (_full_output_ file)"
"GPP","Gross Primary Productivity (nighttime-based)","µmolCO2 m-2 s-1","","Ameriflux"
"GPP_CUT_16_f","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_16_f","μmol CO2 m-2 s-1","",""
"GPP_CUT_84_f","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_84_f","μmol CO2 m-2 s-1","",""
"GPP_CUT_REF_f","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_REF_f","μmol CO2 m-2 s-1","",""
"GPP_DT","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning","μmol m-2 s-1","","ReddyProc"
"GPP_DT_CUT_05","Gross Primary Production, from Daytime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_16","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_16_f","μmol m-2 s-1","",""
"GPP_DT_CUT_16","Gross Primary Production, from Daytime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_25","Gross Primary Production, from Daytime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_50","Gross Primary Production, from Daytime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_75","Gross Primary Production, from Daytime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_84","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_84_f","μmol m-2 s-1","",""
"GPP_DT_CUT_86","Gross Primary Production, from Daytime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_95","Gross Primary Production, from Daytime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version; average from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_CUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_REF","Gross primary production, i.e. influx to the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_REF_f","μmol m-2 s-1","",""
"GPP_DT_CUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_CUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_CUT_XX) / SQRT(40)); SE from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_CUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"GPP_DT_CUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"GPP_DT_CUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
